name,ein,homepage,twitter,facebook,instagram,youtube,rss
COVENANT HOUSE ALASKA,13-3419755,https://covenanthouseak.org/,https://twitter.com/CovenantHouseAK,https://www.facebook.com/CovenantHouseAK,https://www.instagram.com/covenanthouseak,,https://covenanthouseak.org/feed/
ARCTIC SLOPE COMMUNITY FOUNDATION INC,27-2247740,https://www.arcticslopecf.org/,https://twitter.com/ASC_Foundation,,,,
ALASKA YOUTH AND FAMILY NETWORK,31-1751437,https://ayfn.org/,https://twitter.com/AYFN,,,,https://ayfn.org/feed/
ANCHORAGE COMMUNITY MENTAL HEALTH SERVICES INC,51-0152394,https://alaskabehavioralhealth.org/,,https://www.facebook.com/187461092616,,,https://alaskabehavioralhealth.org/feed/
Children's Surgical Centre,71-0897496,https://www.guidestar.org/profile/71-0897496,,,,,
BIG BROTHERS BIG SISTERS OF ALASKA,80-0064172,https://www.bbbsak.org/,https://twitter.com/bbbsak,https://www.facebook.com/BBBSAK,https://www.instagram.com/bbbsak,,https://www.bbbsak.org/feed/
The Alaska Center Education Fund,23-7380045,https://akcenter.org/about/education-fund/,https://twitter.com/AKCenter,https://www.facebook.com/TheAKCenter,https://www.instagram.com/alaskacenter,,https://akcenter.org/feed/
ALASKA PUBLIC TELECOMMUNICATIONS INC,23-7394629,https://www.alaskapublic.org/about/,https://twitter.com/AKPublicNews,https://www.facebook.com/alaskapublic,https://www.instagram.com/alaskapublic,https://www.youtube.com/user/aptiadmin,https://www.alaskapublic.org/feed/
ANCHORAGE PARK FOUNDATION,41-2205907,https://anchorageparkfoundation.org/,,https://www.facebook.com/40371298120,https://www.instagram.com/ancparkfoundation,,https://anchorageparkfoundation.org/feed/
"EXCEL Alaska, Inc.",46-1486834,https://alaskaexcel.org/,,https://www.facebook.com/EXCELAlaska1,https://www.instagram.com/excelalaska,,https://alaskaexcel.org/feed/
Alaska Children's Trust,91-1765129,https://www.alaskachildrenstrust.org/,https://twitter.com/AKChildrenTrust,https://www.facebook.com/alaskachildrenstrust,,,
"Great Alaska Council, Boy Scouts of America",92-0016314,https://www.scoutingalaska.org/,https://twitter.com/greatAKscout,https://www.facebook.com/GreatAlaskaCouncil,https://www.instagram.com/GreatAlaskaCouncil,,
Alaska Pacific University,92-0023588,https://www.alaskapacific.edu/,https://twitter.com/AlaskaPacificU,https://www.facebook.com/Alaskapacific,https://www.instagram.com/alaskapacific,,https://www.alaskapacific.edu/feed/
